ID	Tissue_specific_index	Tissue_name
TRINITY_DN120582_c1_g2_i1	0.134774809682866	Testis_mean
TRINITY_DN155059_c0_g1_i1	0.180364842827791	G46_M_mean
TRINITY_DN132231_c0_g2_i2	0.0965512635796801	Liver_mean
TRINITY_DN134708_c12_g1_i1	0.176886172967398	Testis_mean
TRINITY_DN127626_c0_g3_i1	0.0979993090740272	Testis_mean
TRINITY_DN123498_c2_g1_i1	0.171063924511699	G43_M_mean
TRINITY_DN120182_c0_g1_i4	0.183768683712575	Testis_mean
TRINITY_DN113795_c0_g1_i4	0.162199710046483	Brain_mean
TRINITY_DN114600_c0_g1_i1	0.105442772624431	G43_M_mean
TRINITY_DN125956_c0_g1_i1	0.168272036427765	Testis_mean
TRINITY_DN128515_c0_g1_i7	0.18499682698364	G43_M_mean
TRINITY_DN128976_c1_g1_i1	0.17283528123529	Testis_mean
TRINITY_DN123426_c1_g4_i1	0.194007891030315	G23_mean
TRINITY_DN134257_c1_g9_i5	0.103935218618956	G43_M_mean
TRINITY_DN110298_c0_g2_i1	0.170183065773498	G46_F_mean
TRINITY_DN119788_c0_g1_i2	0.143206914620122	Liver_mean
TRINITY_DN117322_c0_g1_i1	0.150855744527797	Brain_mean
TRINITY_DN109907_c0_g1_i1	0.195080554593775	Testis_mean
TRINITY_DN123553_c0_g1_i1	0.132188489599566	G43_M_mean
TRINITY_DN134756_c0_g1_i1	0.195359883882986	Brain_mean
TRINITY_DN126582_c1_g1_i4	0.151177339719923	Liver_mean
TRINITY_DN123398_c4_g2_i4	0.109446069143343	G23_mean
TRINITY_DN102279_c0_g2_i1	0.15606992269992	G46_F_mean
TRINITY_DN117817_c0_g1_i1	0.131196465588604	G23_mean
TRINITY_DN122437_c0_g1_i2	0.110045539247864	Ovary_mean
TRINITY_DN123869_c1_g1_i1	0.127883560920994	G23_mean
TRINITY_DN113502_c0_g1_i1	0.102770660957668	G23_mean
TRINITY_DN114586_c0_g1_i1	0.167449150300711	Brain_mean
TRINITY_DN129630_c3_g2_i2	0.102194250418769	Ovary_mean
TRINITY_DN135942_c3_g1_i3	0.121612039643087	G46_F_mean
TRINITY_DN103795_c0_g1_i3	0.184532014344195	G43_F_mean
TRINITY_DN136154_c1_g3_i1	0.046673780500821	G43_M_mean
TRINITY_DN115423_c2_g1_i2	0.173762774778467	G23_mean
TRINITY_DN119978_c0_g1_i1	0.166625558168551	Ovary_mean
TRINITY_DN129752_c4_g11_i1	0.151892703198376	Brain_mean
TRINITY_DN125851_c4_g2_i4	0.128168949699591	G23_mean
TRINITY_DN127575_c5_g1_i3	0.11178397982661	G23_mean
TRINITY_DN133597_c0_g2_i1	0.113625835460679	Ovary_mean
TRINITY_DN108683_c0_g3_i1	0.126919823179541	G23_mean
TRINITY_DN125399_c0_g1_i2	0.171311649098753	G23_mean
TRINITY_DN116724_c0_g7_i2	0.164432623048931	G23_mean
TRINITY_DN87751_c0_g2_i1	0.14161852733733	G23_mean
TRINITY_DN130021_c0_g6_i1	0.184193862961255	G43_M_mean
TRINITY_DN115767_c0_g1_i3	0.17723057601112	G23_mean
TRINITY_DN133356_c4_g1_i3	0.175046972768558	G23_mean
TRINITY_DN131594_c0_g1_i3	0.195926165555375	G23_mean
TRINITY_DN121972_c0_g3_i1	0.188652631723078	G43_F_mean
TRINITY_DN127151_c1_g2_i1	0.0698989756596921	Testis_mean
TRINITY_DN108146_c0_g1_i2	0.17875631184614	Brain_mean
TRINITY_DN127509_c3_g6_i4	0.179964344810251	Brain_mean
TRINITY_DN132501_c4_g2_i1	0.178624706417452	G43_M_mean
TRINITY_DN131686_c3_g3_i1	0.180800184426883	Brain_mean
TRINITY_DN116935_c0_g1_i1	0.163584444414193	Ovary_mean
TRINITY_DN125885_c4_g3_i1	0.180844176015249	G23_mean
TRINITY_DN118126_c0_g1_i1	0.156935585958514	G23_mean
TRINITY_DN120786_c0_g1_i4	0.191479725345621	G23_mean
TRINITY_DN133862_c1_g2_i1	0.191699048368354	G43_M_mean
TRINITY_DN113777_c0_g1_i1	0.194399330985851	Brain_mean
TRINITY_DN131409_c0_g1_i2	0.106263872469469	Testis_mean
TRINITY_DN132719_c0_g1_i3	0.139498789773886	Brain_mean
TRINITY_DN104919_c0_g1_i1	0.0909940778045893	Testis_mean
TRINITY_DN136596_c10_g1_i1	0.0864999910092679	G23_mean
TRINITY_DN127680_c4_g2_i3	0.0898264355738343	Testis_mean
TRINITY_DN128810_c1_g5_i4	0.169775524576304	Testis_mean
TRINITY_DN131122_c2_g1_i4	0.164732305012263	Brain_mean
TRINITY_DN131756_c3_g1_i1	0.18990951881396	G31_mean
TRINITY_DN134806_c13_g3_i4	0.190413908250647	Ovary_mean
TRINITY_DN115111_c0_g1_i1	0.0934121484873042	G43_F_mean
TRINITY_DN164802_c0_g1_i1	0.191409981634431	Ovary_mean
TRINITY_DN122150_c0_g2_i1	0.194504938933035	G43_M_mean
